pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
911676,Smirnoff,Crush Mango and Peach Cans 440mL,179.99,50.4,50.02,3.57
6047464,Hard Rated,Zero Sugar Lemon Pineapple Cans 375mL,19.5,5.2,5.33,3.75
6047464,Hard Rated,Zero Sugar Lemon Pineapple Cans 375mL,117.99,31.2,31.97,3.78
6020607,Monsuta,Purple Grape Chūhai 7.3% Cans 350mL,18.0,7.6,8.07,2.37
6020607,Monsuta,Purple Grape Chūhai 7.3% Cans 350mL,137.99,45.6,48.41,3.03
304121,Monsuta,Pineapple Chūhai 7.3% Cans 350mL,18.0,8.0,8.07,2.25
304121,Monsuta,Pineapple Chūhai 7.3% Cans 350mL,103.5,48.0,48.41,2.16
63543,SOFI Spritz,Blood Orange & Bitters Cans 250mL,15.3,6.32,6.32,2.42
63543,SOFI Spritz,Blood Orange & Bitters Cans 250mL,76.45,37.92,37.89,2.02
935649,Jack Daniel's,Tennessee Whiskey & No Sugar Cola Cans 375mL,28.99,5.6,5.68,5.18
935649,Jack Daniel's,Tennessee Whiskey & No Sugar Cola Cans 375mL,118.99,33.6,34.1,3.54
881037,Jim Beam,White Label Bourbon & Zero Sugar Cola  375mL Cans,30.0,8.4,8.53,3.57
881037,Jim Beam,White Label Bourbon & Zero Sugar Cola  375mL Cans,99.99,33.6,34.1,2.98
6006087,Hard Rated,Lemon 6% Cans 10x330mL,54.0,16.0,15.63,3.38
6006087,Hard Rated,Lemon 6% Cans 10x330mL,159.99,48.0,46.89,3.33
6005399,Pals,Vodka Pink Lemon and Soda Can 330mL,25.49,4.8,4.69,5.31
6005399,Pals,Vodka Pink Lemon and Soda Can 330mL,57.0,14.4,14.07,3.96
907852,Smirnoff,Ice Double Black Guarana Can 250mL,30.0,20.8,5.13,1.44
907852,Smirnoff,Ice Double Black Guarana Can 250mL,189.99,124.8,30.79,1.52
120650,White Claw,Seltzer Mango Cans 330mL,20.0,4.8,4.69,4.17
120650,White Claw,Seltzer Mango Cans 330mL,129.99,28.8,28.14,4.51
49389,Bundaberg,OP Rum & Cola Cans 375mL,41.99,10.8,10.66,3.89
49389,Bundaberg,OP Rum & Cola Cans 375mL,155.99,43.2,42.63,3.61
389455,Ampersand,Vodka Soda & Pine Lime 6% Cans 330mL,28.99,6.4,6.25,4.53
389455,Ampersand,Vodka Soda & Pine Lime 6% Cans 330mL,135.99,38.4,37.51,3.54
325737,Ampersand,Pink Gin Soda Cans 330mL,20.0,4.0,4.17,5.0
325737,Ampersand,Pink Gin Soda Cans 330mL,124.99,24.0,25.01,5.21
105700,Peelers,Vodka Orange Soda Cans 375mL,19.75,5.2,5.33,3.8
105700,Peelers,Vodka Orange Soda Cans 375mL,109.45,31.2,31.97,3.51
6006083,Hard Rated,Lemon 6% Cans 330mL,29.99,6.4,6.25,4.69
6006083,Hard Rated,Lemon 6% Cans 330mL,149.99,38.4,37.51,3.91
764418,Wild Turkey,101 Bourbon & Zero Cola Cans 10x375mL,65.0,19.0,19.24,3.42
764418,Wild Turkey,101 Bourbon & Zero Cola Cans 10x375mL,188.99,57.0,57.73,3.32
649403,Wild Turkey,101 Bourbon and Zero Sugar Cola 375mL Cans,29.0,7.6,7.7,3.82
649403,Wild Turkey,101 Bourbon and Zero Sugar Cola 375mL Cans,170.99,45.6,46.18,3.75
511814,Pimm's,No 1 Cup Lemonade & Ginger Ale 330mL,25.0,4.0,4.17,6.25
511814,Pimm's,No 1 Cup Lemonade & Ginger Ale 330mL,137.99,24.0,25.01,5.75
138390,UDL,Mixed Cans 10x375mL,47.95,12.0,11.84,4.0
138390,UDL,Mixed Cans 10x375mL,143.85,36.0,35.53,4.0
73531,Gordon's,Premium Pink Gin & Soda Cans 250mL,19.95,3.2,3.16,6.23
73531,Gordon's,Premium Pink Gin & Soda Cans 250mL,119.7,19.2,18.95,6.23
106302,Jack Daniel's,Whiskey & No Sugar Cola Cans 10 Pack 375mL,49.95,14.0,142.1,3.57
